Image,Codec,Param,BPP,PSNR,SSIM,EncTime,DecTime
kodim03,BPG,19.0,1.64874267578125,43.71137202861703,0.9797907521369743,0.33503121975809336,0.23930110782384872
kodim03,BPG,15.0,2.4945475260416665,45.67262916654749,0.9864436600331422,0.4045219225808978,0.2474685125052929
kodim03,JPEG-XL,5.0,0.3509318033854167,33.386597738113764,0.8935761456937069,0.18492789193987846,0.07602410111576319
kodim03,JPEG-XL,4.5,0.3909098307291667,33.885845292661536,0.9024756473834157,0.22792429104447365,0.09017138462513685
kodim03,JPEG-XL,3.5,0.4772542317708333,34.774526518820124,0.916184389299989,0.19119124859571457,0.07775375060737133
kodim03,JPEG-XL,2.8,0.57781982421875,35.8428280949994,0.9311469616893758,0.18013568501919508,0.07397955283522606
kodim03,JPEG-XL,1.7,0.8664143880208334,37.89707225648904,0.9537145972440205,0.1773496475070715,0.0738125741481781
kodim03,JPEG-XL,1.0,1.2644246419270833,39.76471971524089,0.9671640403916776,0.1819390533491969,0.07799914572387934
kodim03,JPEG-XL,0.4,2.5753377278645835,42.57686088656897,0.9806949637814801,0.13686730340123177,0.0852608447894454
kodim04,JPEG,10.0,0.2629191080729167,27.826636520160054,0.722886500563778,0.002835756167769432,0.0019025783985853195
kodim04,JPEG,30.0,0.5365193684895834,31.70473517565847,0.8468256218623896,0.0034340256825089455,0.0025895023718476295
kodim04,JPEG,50.0,0.75262451171875,33.25728334789894,0.885587201021618,0.0038156667724251747,0.001856926828622818
kodim04,JPEG,70.0,1.05047607421875,34.74384199680334,0.9135402809302265,0.003568488173186779,0.0023185452446341515
kodim04,JPEG,80.0,1.34967041015625,36.02921473598347,0.9316866213314626,0.006650526076555252,0.002141892910003662
kodim04,JPEG,90.0,2.0712076822916665,38.42139296505969,0.9564815359073519,0.007456996478140354,0.0038489382714033127
kodim04,JPEG,95.0,3.0637003580729165,40.90788961233863,0.9732955431858056,0.008093258365988731,0.00396242830902338
kodim04,BPG,40.0,0.26873779296875,30.487453978967526,0.8028866659366215,0.2855434073135257,0.20663875434547663
kodim04,BPG,35.0,0.46044921875,33.10971029437471,0.8738645475357099,0.29415218252688646,0.23730316013097763
kodim04,BPG,31.0,0.7188924153645834,35.42411517361708,0.9177281374495032,0.3367254575714469,0.22202478349208832
kodim04,BPG,27.0,1.1129557291666667,37.890032266277146,0.948071459205574,0.32437656447291374,0.22397449519485235
kodim04,BPG,23.0,1.674560546875,40.3849098272694,0.9686765106157802,0.3489875616505742,0.23144315648823977
kodim04,BPG,19.0,2.39837646484375,42.759703685940885,0.9808468565374509,0.3909063655883074,0.2304476471617818
kodim04,BPG,15.0,3.3295491536458335,44.90188002736605,0.987850281064504,0.3930228101089597,0.24259989243000746
kodim04,JPEG-XL,5.0,0.3979288736979167,32.2138965106829,0.8535656977373612,0.19273373950272799,0.08162454143166542
kodim04,JPEG-XL,4.5,0.4455769856770833,32.570296085803946,0.8641884901030865,0.19784687459468842,0.09400583896785975
kodim04,JPEG-XL,3.5,0.5527140299479166,33.478585268205194,0.8847133245928162,0.17973612621426582,0.0791799807921052
